count,all versions,weeks
1.0,v5.0,7
2.0,v5.0-rc1,0
3.0,v5.0-rc2,0
4.0,v5.0-rc3,1
5.0,v5.0-rc4,2
6.0,v5.0-rc5,3
7.0,v5.0-rc6,4
8.0,v5.0-rc7,6
9.0,v5.0-rc8,6
10.0,v5.0.1,8
11.0,v5.0.2,9
12.0,v5.0.3,10
13.0,v5.0.4,10
14.0,v5.0.5,11
15.0,v5.0.6,12
16.0,v5.0.7,12
17.0,v5.0.8,14
18.0,v5.0.9,14
19.0,v5.0.10,15
20.0,v5.0.11,16
21.0,v5.0.12,16
22.0,v5.0.13,16
23.0,v5.0.14,17
24.0,v5.0.15,17
25.0,v5.0.16,18
26.0,v5.0.17,18
27.0,v5.0.18,19
28.0,v5.0.19,19
29.0,v5.0.20,20
30.0,v5.0.21,21
31.0,v5.1,16
32.0,v5.1-rc1,9
33.0,v5.1-rc2,10
34.0,v5.1-rc3,11
35.0,v5.1-rc4,12
36.0,v5.1-rc5,13
37.0,v5.1-rc6,14
38.0,v5.1-rc7,15
39.0,v5.1.1,17
40.0,v5.1.2,18
41.0,v5.1.3,18
42.0,v5.1.4,19
43.0,v5.1.5,19
44.0,v5.1.6,20
45.0,v5.1.7,21
46.0,v5.1.8,21
47.0,v5.1.9,22
48.0,v5.1.10,22
49.0,v5.1.11,23
50.0,v5.1.12,23
51.0,v5.1.13,23
52.0,v5.1.14,23
53.0,v5.1.15,24
54.0,v5.1.16,25
55.0,v5.1.17,26
56.0,v5.1.18,26
57.0,v5.1.19,27
58.0,v5.1.20,28
59.0,v5.1.21,28
60.0,v5.2,25
61.0,v5.2-rc1,18
62.0,v5.2-rc2,19
63.0,v5.2-rc3,20
64.0,v5.2-rc4,21
65.0,v5.2-rc5,22
66.0,v5.2-rc6,23
67.0,v5.2-rc7,24
68.0,v5.2.1,26
69.0,v5.2.2,27
70.0,v5.2.3,28
71.0,v5.2.4,28
72.0,v5.2.5,29
73.0,v5.2.6,29
74.0,v5.2.7,30
75.0,v5.2.8,30
76.0,v5.2.9,31
77.0,v5.2.10,32
78.0,v5.2.11,33
79.0,v5.2.12,34
80.0,v5.2.13,34
81.0,v5.2.14,35
82.0,v5.2.15,36
83.0,v5.2.16,36
84.0,v5.2.17,36
85.0,v5.2.18,38
86.0,v5.2.19,38
87.0,v5.2.20,39
88.0,v5.2.21,39
89.0,v5.3,35
90.0,v5.3-rc1,27
91.0,v5.3-rc2,28
92.0,v5.3-rc3,30
93.0,v5.3-rc4,30
94.0,v5.3-rc5,31
95.0,v5.3-rc6,32
96.0,v5.3-rc7,34
97.0,v5.3-rc8,34
98.0,v5.3.1,36
99.0,v5.3.2,38
100.0,v5.3.3,38
101.0,v5.3.4,38
102.0,v5.3.5,39
103.0,v5.3.6,39
104.0,v5.3.7,40
105.0,v5.3.8,42
106.0,v5.3.9,43
107.0,v5.3.10,43
108.0,v5.3.11,44
109.0,v5.3.12,45
110.0,v5.3.13,45
111.0,v5.3.14,46
112.0,v5.3.15,47
113.0,v5.3.16,48
114.0,v5.3.17,49
115.0,v5.3.18,49
116.0,v5.4,45
117.0,v5.4-rc1,38
118.0,v5.4-rc2,38
119.0,v5.4-rc3,39
120.0,v5.4-rc4,40
121.0,v5.4-rc5,41
122.0,v5.4-rc6,42
123.0,v5.4-rc7,43
124.0,v5.4-rc8,44
125.0,v5.4.1,46
126.0,v5.4.2,47
127.0,v5.4.3,48
128.0,v5.4.4,49
129.0,v5.4.5,49
130.0,v5.4.6,49
131.0,v5.4.7,51
132.0,v5.4.8,51
133.0,v5.4.9,52
134.0,v5.4.10,52
135.0,v5.4.11,52
136.0,v5.4.12,53
137.0,v5.4.13,53
138.0,v5.4.14,54
139.0,v5.4.15,54
140.0,v5.4.16,55
141.0,v5.4.17,55
142.0,v5.4.18,56
143.0,v5.4.19,57
144.0,v5.4.20,57
145.0,v5.4.21,58
146.0,v5.4.22,59
147.0,v5.4.23,59
148.0,v5.4.24,60
149.0,v5.4.25,61
150.0,v5.5,54
151.0,v5.5-rc1,47
152.0,v5.5-rc2,48
153.0,v5.5-rc3,49
154.0,v5.5-rc4,50
155.0,v5.5-rc5,51
156.0,v5.5-rc6,52
157.0,v5.5-rc7,53
158.0,v5.5.1,55
159.0,v5.5.2,56
160.0,v5.5.3,57
161.0,v5.5.4,57
162.0,v5.5.5,58
163.0,v5.5.6,59
164.0,v5.5.7,59
165.0,v5.5.8,60
166.0,v5.5.9,61
167.0,v5.6-rc1,56
168.0,v5.6-rc2,57
169.0,v5.6-rc3,58
170.0,v5.6-rc4,59
171.0,v5.6-rc5,60
172.0,v5.6-rc6,61
