作者,fix总数,fix过的提交种类数,此人进行过的merge总数,此人merge过的库的种类数,commit总数,能力指数,时区,,时区,时区内总和/总贡献度,时区内平均,时区内人数
Hugh Dickins ,1,1,0,0,1,0.465,-800,,,,,
Ian Rogers ,1,1,0,0,1,0.465,-800,,,,,
Ioanna Alifieraki ,1,1,0,0,1,0.465,-800,,,,,
Ira Weiny ,1,1,0,0,1,0.465,-800,,,,,
Jack Pham ,2,2,0,0,2,0.93,-800,,,,,
Jacob Keller ,23,3,0,0,23,8.673,-800,,,,,
Jaegeuk Kim ,8,2,0,0,8,3.1134,-800,,,,,
Jakub Kicinski ,36,25,7,7,36,21.2433,-800,,,,,
James Jones ,2,1,0,0,2,0.8289,-800,,,,,
Jay Dolan ,1,1,0,0,1,0.465,-800,,,,,
Joe Perches ,5,1,0,0,5,1.9206,-800,,,,,
Johan Hovold ,35,22,0,0,35,14.9607,-800,,,,,
John Bates ,1,1,0,0,1,0.465,-800,,,,,
John Hubbard ,21,2,0,0,21,7.8441,-800,,,,,
John Sperbeck ,1,1,0,0,1,0.465,-800,,,,,
Jonathan Lemon ,3,2,0,0,3,1.2939,-800,,,,,
José Roberto de Souza ,4,4,0,0,4,1.86,-800,,,,,
Josh Triplett ,1,1,0,0,1,0.465,-800,,,,,
Junyong Sun ,1,1,0,0,1,0.465,-800,,,,,
Kaitao Cheng ,1,1,0,0,1,0.465,-800,,,,,
Kan Liang ,7,3,0,0,7,2.8506,-800,,,,,
Kirill A. Shutemov ,4,2,0,0,4,1.6578,-800,,,,,
Kuppuswamy Sathyanarayanan ,1,1,0,0,1,0.465,-800,,,,,
Lakshmi Ramasubramanian ,4,2,0,0,4,1.6578,-800,,,,,
Li Xinhai ,1,1,0,0,1,0.465,-800,,,,,
Linus Torvalds ,480,3,507,435,480,548.5779,-800,,,,,
Long Li ,1,1,0,0,1,0.465,-800,,,,,
Lu Shuaibing ,1,1,0,0,1,0.465,-800,,,,,
Luca Ceresoli ,29,1,0,0,29,10.6542,-800,,,,,
Luca Weiss ,2,2,0,0,2,0.93,-800,,,,,
Lucas De Marchi ,1,1,0,0,1,0.465,-800,,,,,
Lucas Stach ,1,1,0,0,1,0.465,-800,,,,,
Luiz Augusto von Dentz ,7,1,0,0,7,2.6484,-800,,,,,
Manfred Spraul ,4,2,0,0,4,1.6578,-800,,,,,
Manish Chopra ,1,1,0,0,1,0.465,-800,,,,,
Marco Felsch ,14,3,0,0,14,5.3979,-800,,,,,
Marios Pomonis ,13,12,0,0,13,5.9439,-800,,,,,
Martin KaFai Lau ,13,6,0,0,13,5.3373,-800,,,,,
Masahiro Yamada ,61,5,0,0,61,22.7034,-800,,,,,
Mat Martineau ,6,1,0,0,6,2.2845,-800,,,,,
Matt Ranostay ,1,1,0,0,1,0.465,-800,,,,,
Matt Roper ,4,4,0,0,4,1.86,-800,,,,,
Matthias Kaehlcke ,1,1,0,0,1,0.465,-800,,,,,
Max Filippov ,9,1,0,0,9,3.3762,-800,,,,,
Md Fahad Iqbal Polash ,2,1,0,0,2,0.8289,-800,,,,,
Mel Gorman ,3,1,0,0,3,1.1928,-800,,,,,
Michal Swiatkowski ,1,1,0,0,1,0.465,-800,,,,,
Mikhail Zaslonko ,6,1,0,0,6,2.2845,-800,,,,,
Miles Chen ,1,1,0,0,1,0.465,-800,,,,,
Moritz Fischer ,1,1,0,0,1,0.465,-800,,,,,
Nathan Chancellor ,18,13,0,0,18,7.8645,-800,,,,,
Nick Desaulniers ,1,1,0,0,1,0.465,-800,,,,,
Nick Hu ,3,1,0,0,3,1.1928,-800,,,,,
Nicolin Chen ,1,1,0,0,1,0.465,-800,,,,,
Nigel Kirkland ,1,1,0,0,1,0.465,-800,,,,,
OGAWA Hirofumi ,1,1,0,0,1,0.465,-800,,,,,
Oliver Upton ,8,4,0,0,8,3.3156,-800,,,,,
Omar Sandoval ,12,2,0,0,12,4.569,-800,,,,,
or: Kirill A. Shutemov ,1,1,0,0,1,0.465,-800,,,,,
Paolo Abeni ,9,4,0,0,9,3.6795,-800,,,,,
Paul Burton ,3,2,0,0,3,1.2939,-800,,,,,
Paul E. McKenney ,12,1,1,1,12,5.2701,-800,,,,,
Paul Greenwalt ,1,1,0,0,1,0.465,-800,,,,,
Pawan Gupta ,1,1,0,0,1,0.465,-800,,,,,
Peter Krystad ,7,1,0,0,7,2.6484,-800,,,,,
Peter Zijlstra ,11,4,0,0,11,4.4073,-800,,,,,
Philipp Zabel ,1,1,0,0,1,0.465,-800,,,,,
Prashant Malani ,1,1,0,0,1,0.465,-800,,,,,
Praveen Chaudhary ,1,1,0,0,1,0.465,-800,,,,,
Qiujun Huang ,3,1,0,0,3,1.1928,-800,,,,,
Rajan Vaja ,7,1,0,0,7,2.6484,-800,,,,,
Ralph Campbell ,3,1,0,0,3,1.1928,-800,,,,,
Randy Dunlap ,25,5,0,0,25,9.603,-800,,,,,
Ranjani Sridharan ,1,1,0,0,1,0.465,-800,,,,,
Rao Shoaib ,2,1,0,0,2,0.8289,-800,,,,,
Rob Clark ,5,2,0,0,5,2.0217,-800,,,,,
Robert Jones ,4,1,0,0,4,1.5567,-800,,,,,
Roman Gushchin ,1,1,0,0,1,0.465,-800,,,,,
Roman Kiryanov ,1,1,0,0,1,0.465,-800,,,,,
Ronald Tschal??r ,1,1,0,0,1,0.465,-800,,,,,
Saeed Mahameed ,5,1,1,1,5,2.7228,-800,,,,,
Sagi Grimberg ,2,2,0,0,2,0.93,-800,,,,,
Sami Tolvanen ,3,1,0,0,3,1.1928,-800,,,,,
Saravana Kannan ,3,2,0,0,3,1.2939,-800,,,,,
Sargun Dhillon ,4,1,0,0,4,1.5567,-800,,,,,
Scott Branden ,2,1,0,0,2,0.8289,-800,,,,,
Shannon Nelson ,3,3,0,0,3,1.395,-800,,,,,
Song Liu ,3,3,0,0,3,1.395,-800,,,,,
Srinivas Pandruvada ,7,1,0,0,7,2.6484,-800,,,,,
Stanislav Fomichev ,1,1,0,0,1,0.465,-800,,,,,
Stefan Schaeckeler ,1,1,0,0,1,0.465,-800,,,,,
Stephen Boyd ,30,8,13,13,30,22.1544,-800,,,,,
Stephen Hemminger ,1,1,0,0,1,0.465,-800,,,,,
Steven Clarkson ,1,1,0,0,1,0.465,-800,,,,,
Sudarsana Reddy Kalluru ,1,1,0,0,1,0.465,-800,,,,,
Sukadev Bhattiprolu ,4,2,0,0,4,1.6578,-800,,,,,
Suraj Jitindar Singh ,2,1,0,0,2,0.8289,-800,,,,,
Suren Baghdasaryan ,2,1,0,0,2,0.8289,-800,,,,,
"Swaminathan, Nivedita ",1,1,0,0,1,0.465,-800,,,,,
Taejoon Song ,1,1,0,0,1,0.465,-800,,,,,
Tejas Patel ,2,1,0,0,2,0.8289,-800,,,,,
Tejun Heo ,3,3,0,0,3,1.395,-800,,,,,
Theodore Dubois ,1,1,0,0,1,0.465,-800,,,,,
Thinh Nguyen ,7,2,0,0,7,2.7495,-800,,,,,
Thomas Hebb ,2,1,0,0,2,0.8289,-800,,,,,
Tim Harvey ,3,1,0,0,3,1.1928,-800,,,,,
Tony Lindgren ,36,5,6,5,36,17.9592,-800,,,,,
Tony Luck ,1,1,0,0,1,0.465,-800,,,,,
Tony Nguyen ,8,2,0,0,8,3.1134,-800,,,,,
Tyrel Datwyler ,1,1,0,0,1,0.465,-800,,,,,
Vasily Averin ,21,4,0,0,21,8.0463,-800,,,,,
Vasily Khoruzhick ,4,1,0,0,4,1.5567,-800,,,,,
Victor Kamensky ,2,1,0,0,2,0.8289,-800,,,,,
Vineet Gupta ,6,1,0,0,6,2.2845,-800,,,,,
Vitaly Wool ,1,1,0,0,1,0.465,-800,,,,,
Vivek Kasireddy ,3,2,0,0,3,1.2939,-800,,,,,
Wei Yang ,8,5,0,0,8,3.4167,-800,,,,,
Wen Yang ,5,1,0,0,5,1.9206,-800,,,,,
Xiong ,1,1,0,0,1,0.465,-800,,,,,
Yang Shi ,2,2,0,0,2,0.93,-800,,,,,
Yash Shah ,9,2,0,0,9,3.4773,-800,,,,,
Yonghong Song ,8,3,0,0,8,3.2145,-800,,,,,
Yonghyun Hwang ,1,1,0,0,1,0.465,-800,,,,,
Yu Zhao ,2,1,0,0,2,0.8289,-800,,,,,
Yulia Kartseva ,1,1,0,0,1,0.465,-800,,,,,
Yunfeng Ye ,2,1,0,0,2,0.8289,-800,,,,,
Yury Norov ,10,1,0,0,10,3.7401,-800,,,,,
zhengbin ,19,1,0,0,19,7.0152,-800,,,,,
Alexandru M Stan ,1,1,0,0,1,0.465,-700,,,,,
Andreas Dilger ,1,1,0,0,1,0.465,-700,,,,,
Arnd Bergmann ,30,14,0,0,30,12.3324,-700,,,,,
Baoquan He ,1,1,0,0,1,0.465,-700,,,,,
Chris Down ,3,2,0,0,3,1.2939,-700,,,,,
Christian Zigotzky ,1,1,0,0,1,0.465,-700,,,,,
Chunguang Xu ,1,1,0,0,1,0.465,-700,,,,,
Dan Moulding ,1,1,0,0,1,0.465,-700,,,,,
Daniel Campello ,1,1,0,0,1,0.465,-700,,,,,
Dave Jiang ,13,3,0,0,13,5.034,-700,,,,,
Guenter Roeck ,18,3,0,0,18,6.8535,-700,,,,,
Jerry Snitselaar ,3,2,0,0,3,1.2939,-700,,,,,
Jing Lin ,1,1,0,0,1,0.465,-700,,,,,
Joel Fernandes ,1,1,0,0,1,0.465,-700,,,,,
Jon Derrick ,6,1,0,0,6,2.2845,-700,,,,,
Jonathan Corbet ,4,1,1,1,4,2.3589,-700,,,,,
Jordan Crouse ,3,1,0,0,3,1.1928,-700,,,,,
Kelvin Cao ,3,1,0,0,3,1.1928,-700,,,,,
Lai Jiangshan ,8,1,0,0,8,3.0123,-700,,,,,
Logan Gunthorpe ,11,3,0,0,11,4.3062,-700,,,,,
Mahesh Bandewar ,3,3,0,0,3,1.395,-700,,,,,
Megha Dey ,2,2,0,0,2,0.93,-700,,,,,
Michal Hocko ,1,1,0,0,1,0.465,-700,,,,,
Mike Jones ,1,1,0,0,1,0.465,-700,,,,,
Qian Cai ,13,4,0,0,13,5.1351,-700,,,,,
Raul E Rangel ,1,1,0,0,1,0.465,-700,,,,,
Roman Penyaev ,1,1,0,0,1,0.465,-700,,,,,
Shakeel Butt ,2,2,0,0,2,0.93,-700,,,,,
Shuah Khan ,1,1,0,0,1,0.465,-700,,,,,
Shyam Prasad N ,1,1,0,0,1,0.465,-700,,,,,
Shyjumon N ,1,1,0,0,1,0.465,-700,,,,,
Sushma Kalakota ,1,1,0,0,1,0.465,-700,,,,,
Tycho Andersen ,2,1,0,0,2,0.8289,-700,,,,,
Vinicius Costa Gomes ,6,3,0,0,6,2.4867,-700,,,,,
Vlastimil Babka ,5,4,0,0,5,2.2239,-700,,,,,
Wesley Sheng ,2,1,0,0,2,0.8289,-700,,,,,
Abhi Das ,1,1,0,0,1,0.465,-600,,,,,
Aditya Pakki ,2,2,0,0,2,0.93,-600,,,,,
Alex Sierra ,8,1,0,0,8,3.0123,-600,,,,,
Bard Liao ,4,1,0,0,4,1.5567,-600,,,,,
Benoit Parrot ,15,1,0,0,15,5.5596,-600,,,,,
Bin Liu ,2,2,0,0,2,0.93,-600,,,,,
Bjorn Helgaas ,17,1,15,15,17,18.3204,-600,,,,,
Corey Minyard ,1,1,0,0,1,0.465,-600,,,,,
Dan Murphy ,7,5,0,0,7,3.0528,-600,,,,,
Dinh Nguyen ,1,1,0,0,1,0.465,-600,,,,,
Eddie James ,7,1,0,0,7,2.6484,-600,,,,,
